Q,A
"예전에 2점대는 학교 공부 1도 안하고 맨날 노는 사람들만 받는 점수 인 줄 알았거든? 근데 나 맨날 밤 새고 강의도 이해될때까지 듣고 나름대로 열심히 했는데 지금 나온 성적만 보면 2점대다..B+ B0 2개 C+ C0만 나와도 2점대이더라고..내 점수가 너무 충격적이야 되게 허탈하고.. 왜 학교 다니나 싶고.. 돈 버리는 거 같고.. 지금 2학년인데, 이제 막 전공 배웠는데 이렇게 힘들고 어렵다고 느끼면 앞으로는 어떻게 해야하나.. 성적 잘 나온 너네 부럽고 엄청 대단하다",3학년인데 진짜 큰일이다..
수정 안되는데,모르는거 생길땐 과사?
전공과목 89점짜리 과목있는데 교수님께 말씀드리면 a될 수 있나요 ?만약에 가능하면 어떤식으로 문의 드리면 되나요 ??,님이올리가면 90점인누군가는89로내려갑니다
백분율 계산할때 패스 논패스 과목 포함해서 나눠야함 ?지금 듣는 과목은 7과목인데 하나는 패스 논패스임 다 더해서 6으로 나눔 7로 나눔 ?,그건 빼고
언제부터 확인 가능? 전공이든 교양이든,계절학기 지금 시작하도 있는데?
1학기 A 과목2학기 B 과목 수업 내용 연결된 과목같은데제가 수강신청을 못해서 A는 못들은 상태입니다.2학기때 B과목 들을 수 있나요?참고로 A과목은 전공선택과목입니다.,우리과는 가능 근데 우리과만 그런걸 수도 있으니까 과사 문의ㄱ
에프 맞은거임?,교수님이 안올리고 지금 주무시는중
장학금 받을 수 있나요? ㅠㅠ,존나 병신같음
중간 기말고사 결과가 각각 최고점 받은 분보다 3점/4점 낮았는데 a+로 올려달라는 건 너무 나쁜놈 마인드일까요..?과제 냈구 출석 2번 빠지긴 했는데 그것 때문일까 싶기도 하네요 ㅠ,네 출석다했으면 a+이었음
83인데 비쁠로 이의신청하면 가능한가요?,84가 해도 기적이라니깐
에이나 비 이런거 말고저 바닥에서 한단계 덜 바닥으로 올려달라하는거면승률 있음??,비교적
둘중에 어디가 더 좋앞?,비슷하던데!!
이의신청 받아주려나? ㅠㅠ,ㄴㄴ ㅜ
이거 이의신청하면 b 가능할까..?,아뇨
백분위 80 인가 그것만 넘으면 다 받을수 있어?,국장신청하고 80넘으면 주지
실점수 다 더해서 나누기 과목수 하면 되나요..?,학점수로 나눠요
아니면 전체 학점으로 따지는거임?,전체 학점
학교는 졸업하고 싶은데,백분위로 따져봐
처음인데 부모님께는 뭐 안가지? 나한테 오겠지?,그거 종이 날라가지않나?
b0로 올려달라고 말씀드릴수 있을까ㅏ...?,그것도 너 국장받으라고 꽉채워서 주신거
80 95 이렇게 뜨는 점수 말하는 거지?? 등급 앞에,ㅇㅇ 그걸로쳥균을내야함
제가 이번학기 학점이 좀 많이 망했는데군대갔다와서 재수강해서 성적 올리면 그해 학기 성적이 수정 되는건가요??,네
성적 4.3에 10분위면 성적 장학금 나오나요?1학년입니다,삭제된 댓글입니다.
나만 성적 안 떠...? 강의평가 완료 했어!,나도 안나옴
나만 점수 안올라온거 아니지?,내일 되면 다 올라옵니다 걱정 ㄴㄴ
이정도면 그래도 반타작은 한거겠지...?,1학년인데 왜 씨쁠이
장학금 무조건임? 진짜 쪼끔이라도,무적권은 없지 확률이 높은거지
국장 성적 기준 계산할 때 어떻게 계산해야 댐?,포함ㄴ
재수강했을때 최대로 높게 받을수 있는 점수가 몇점이야 ? a쁠만 못받아 아니면 a도 못받아 ..??,에이 가능
기만이라고함? 지가 논거랑 내가 공부하고 성적잘맞은게잘못임?,4.2 나왔는데 망한거죠??ㅠㅠ <- 이런건 좀 눈꼴시렵자너~
성적  백분위할때  들어가나???,ㄴㄴ
21학점 4.5 전액장학금 가능?,삭제된 댓글입니다.
B+ 점수 몇부터임???,85일듯
F 원래 0점이야?,겨수님맘최소로주면 한 40 50도줌
ㅂㅈㅇ 교수님 점수 이게 맞나..? 4-1인데..,삭제된 댓글입니다.
설마 f?,입력 안한거
씨디에프는  교수님 재량아님???,마자용
"... 왜 미적 중간12에 기말33맞았는데 77점 c+일까?출석 과제 만점인데 내친구는왜 중간12에 기말29인데77일까 얘도 과제 출석 다하긴함 왜 똑같이줬을까 시험점수가 4점차이인데 ,,, 다들 미적 c+이나 b0받은사람들 댓글에 점수적고가요..",중간이 12점인데 b가나올리가
교수님 말고..,학교 심리상담소
D는 재수강안해도 졸업에 문제는 없지??,ㅇㅇ
시험이 엄청 어려워서 다들 많이 못풀었던건가? 많이 못풀었는게 성적이 꽤 잘나왔네,그니까 ㅋㅋㅋㅋ 나도 생각보다 잘나옴
93.4인거 a쁠로 안올려주시려나?,안될껄? 나 94인데 a0임…..
내일 나오겠지? 나 뭐 문제 있는거 아니지?ㅠㅠ,"ㅇㅇ 근데 내일지나서 나올수도 너가 문제있는게 아니라 교수님이 아직 안올린,,,"
근데 진짜 너무 까다로운 교수님임…,참고로 전공
오또캐?,d는 메일 한번 보내보셈 ㅋㅋㅋ
두개 아예 빈칸인데 아직 안넣으신거지..?,예아
제곧내 ㅠ패스과목도 잇길래..,에타 학점 계산기 ㄱ
백분위 계산 그 점수란에 뜬 숫자 다 더하고 과목수로 나누기만 하면되나요?? 학점수 상관없이??,점수 곱하기 학점 나누기 과목수
실험 보고서도 잘 내고 출석도 한 번도 안 빠졌는데 점수가 아예 0점으로 F인데 왜 이런 거야? 나 너무 당황스러워 메일 보라고 보내야 할까 적어도 이유라도 알고 싶음…,0점이면 걍 점수입력 안한거아님? 교수님중에 과제 점수 일단 0점 주고 나중에 고치는 경우 많이 봐서 그런거같음
......? 교수님이 나 싫어하나 과제도 완벽 출석도 코로나빼면 완벽인데,부분점수
성적중복포기 기간이 아니라고뜨네,전산처리 되고 공지사항 뜨니까 기다려봥
출석 다 하고 중간 평균 60인대 40이고 기말은 점수 모름 전공인데 당황스러움 ㅋㅋc예상했는데,D면 메일 한번 보내봐 C로 올려줄 수도 있음
......없죠?,교수님이 실수하지 않은이상 니 시험성적은 안바뀜 ㅇㅇ 메일 넣어봐 ㅋㅋㅋㅋㅋㅋ
학점 3.0이 아니라 백분위 80 맞지지금 F로 9점 나와서 80까지 16점 모자른데 메일로 빌면 30점으로 주실수 있겠지?,출석때문이면 불가능한데
C나오면 재수강해?,c이하 재수강가능한데
나만 F로 나오냐?,나도
오늘 9시에 나와?,그럴수도있고 아닐수도 있습니다
이유를 물어보는 메일을 보네면 실례인가?,ㄴㄴ 궁금하면 물어봐
웰빙 금 오후임 사람 성적 뭐 나왔어?,b+
작년에 성적공개를 같이 했던거 같은데왜 성적중복신청기간 안 뜨나요...?재수강 f맞은거 이번 성적으로 바꿔야하는데..,와드
난 걍 카뱅 30쓰면 캐시백 들어온다해서 쓰는데 뭔가 결제할때마다 창피한 기분...ㅋㅋㅋㅋ체크카드도 혜택 좋은거 있어?? 여자라 나라사랑 못쓰니까 그거 빼구 얘기해주라ㅜㅜ,신검받을때쓴 나라사랑카드 아직도씀
한밭대에서 새벽3시쯤에 카카오택시 잡힘??,요즘 어느장소나 심야택시 잘 안 잡혀
빌려달라하면 빌려주나?,ㄴ
기출만 보고 공부해본사람있어?,필기 아님 실기
...쩝,비추
국장신청한 사람들에 한해서 성적 장학금 주는 거임?,ㄴㄴ 없어짐 그거
기초 기본 고급 나누는 시험 또 치나?아는사람 있니,안쳐용
d나f 폭격기임? 수업스타일 진짜 개깐깐해서 불안한데,ㄴ fffff
저희과 날짜에 일이 있어서 그런데 혹시 다른과 날짜로 미룰 수 있나요?? 아니면 학생예비군은 정해진 학과 날짜만 가는하고 원하는 날짜 신청 못 하나요??,원하는 날짜 신청할수 있잖아요
어디가 괜찮음?,전부 담합함
칠라고하는데 전화하니까 예약해도못쓴다는데 어케쓰는지 앎? ㅏ니면 그냥 이양반 귀찮아서 안해주는건가?,그렇게 사적으로는 못쓰지않나?
취업계? 그거는 2학기때부터 낼 수 있는거지???,취업했음?
"성적확정 및 전산처리는 뭐하는거임? 오래걸리는거임? 왜 4일이나걸릴정도로 오래걸리나요?? 성적표 빨리 뽑아야하는데,,,",쯧..
출석에 영향 큰가요…?,ㅇㅇ
선발대상이라고 왔는데 국가장학금하고 뭐가 다른건가요..?,국가장학금의 일종이에요. 조건은 국장조건 + 비수도권 대학 재학인가 그럴걸요
"3.0 25%, 3.5 50% 3.75 전액 주는 장학금 이거 혹시 인원제한있고 그러나?",인원제한 있음  4.0 아래 못받음
"허니, 흑당, 마라 세가지에서유행한 순서같은거 아는사람..?",버블티 포함
해야하나요??,ㄴㄴ국장이 먼저임
난 B0인가?,c
토익 독학하는 사람들은 보통 교재 뭐 써?,파랑이 빨강이 노랑이
손?,나 ㅋㅋ
20이라 학교도 못가고 1학기만 하다 바로 군대갔다가 올해 2학기에 복학 하는데 진짜 복학생들 계속 밥 혼자먹고 아무도 복학생이랑 안친해지고싶은거 아니지? 아는 형 얘기야,괜찮다 나도 20 복학이다
뭐뭐있어?,반대는 전자지
한달에 생활비 얼마나 쓰니? 나는 공과금 폰요금 다합쳐서 40쓰는대 너무 모잘른디..,50-60
대충 요렇게 생겼는데...  잃어버린거같아요ㅜㅜ,여기가 어디에요?
성적장학금 받으려면 유닛필요함??,어
파이팅,최악이다
"ets 토익 기출문제집 보면 1,2,3 있는데 뭐 사야해..?3으로 갈수록 최신에 난이도도 올라간다고 하던데1안풀고 바로 2나 3풀어도되나?",나도 궁금해
과목당 등급만 보여줌? 총 학점이 몇점인지는 내가 직접 계산해야하는거임?,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 다 떠~ㅎㅎ귀엽넹
이거 받으려면 전에는 국장 꼭 신청해야 했는데작년부터 이거 폐지된거 맞죠? 굳이 안해도 되죵,ㅇㅇㅇㅇㅇㅇ
A+ 4.5A0 4.0 이런식으로 가는건가요?C+도 있어요?총학점은 다 더해서 평균 내는거에요?,에타에 학점계산기 있음
아는 분??,(灬ºωº灬)해영
혹시 시간표 종이 있으시면 찍어서 보내 주실 수 있나요??,홈페이지에 나와있어요
"등, 어깨, 팔, 가슴, 하체 하고 있는데 등 어깨 / 팔 가슴 / 하체 이렇게 묶어서 하는 게 더 좋나요? 그리고 저거말고 다르게 같이 하면 좋은 부위 추천해주세요!",하체 상체 2분할 ㄲ 하시죠
과제 제출한 메일 교수님이 확인 안하셨는데... 내일 성적 공개일 아냐? 진짜 학교 다니면서 처음있는 일인데,교수님께 전화드려봐
"1. (밤 12시부터 못참고) 24일인데 왜 성적안나옴?2. ☆☆(4.0이상 성적표) 이정도면 잘한건가요?3. (A+ 6개, A 1개) 올A+ 개아깝네.이의제기언제임?4. (2.8~2.9) 이정도면 국장가능?5. (C이하 4개이상) 나보다 망한사람 있음?6. (94, 89, 84, 79) 개오바인데 메일보내면 올려줌?점수공개는 9시 ~ 10시그냥 쿨하게 자랑을 합시다",근데 ㄹㅇ 전화기 기준으로 몇점대부터 괜찮게 한걸로 쳐줌?
사람많아요?그리고 pt얼만지 아시는준 알려주세영,오후에 널널하다가 저녁타임때 스멀스멀 나오세영
17500원에 줄게!! 기간은 8월8일까지야!,떡참이뭐야?
여쭤보고싶은게 있습니당,무엇?
이미 나온과목은 통합학사가서보면 되남,이미 등록하셨을 수도 있지. 근데 지금은 못봐. 내일부터 볼 수 있음 ㅋㅋ
왜케 축제관련 글이 많지,기대가 크면 실망도 클텐데 우리학교 축제 진짜 별거없는데
유닛 20점대면 ㅈ된거임?,기초역량에 평균유닛 나오던데
컨셉이겠지? 그게 아니라면 진짜 1절 2절 구분 못하고 자기 좋아하는거 언급됬다고 막 난리치는 개 찐따?같아 ㅠㅠ 좀 적당히 해야 아 그렇구나 하는데 볼때마다 눈꼴시렵다 진짜좀 그만하면 안될까?,걍 무시해 병먹금
20대 진짜 해봐야하는것이 있다면?,해외여행
3일 남았는데 680-> 700 넘기려면문제 하루에 2세트씩 푸는게 나을까요아님 한세트씩 풀고 틀린문제 오답하는게 나을까요?,후자
1달만에 가능?,안될거 뭐있노
하면 다음날 부터 안나가도 되는건가요?? 교수님께 따로 메일은 안보내고 통합학사로만 취소신청한 상태입니당,메일은 하나 보내세요
머가 젤 성적 올리기 쉬워요?,텝스는 의미가 잇나?
언제까지 해야하나요?,학기 초까지 가능
눈마주치면 사귀는거다?,퉁퉁이임?
학점 언제 나오나용,24일 9~10시 사이
성적 기입은 우리가 하는게 아니고 우리는 그냥 성적 열람만 하면 되는거죠..??? 대학 체계를 하나도 모르겠어서ㅠㅠ,네~
저는 자유낙하 힘의 평형 뉴턴 제2 있어요 회전관성 단순조화 줄에서의 파동 있으신 분 교환해요,삭제된 댓글입니다.
권선구 사는 밭붕이 있수?,나 장안구
알바 하는데 많이 멀면 힘든가요?,힘든것보다 귀찮죠 더군다나마감이면버스막차못타니 지쿠터나뚜벅이로퇴근해야댐
국룰대로 10시인가?,진짜 몇시임?
물리 나군 평균 몇개야??,삭제된 댓글입니다.
"이세현,오라클,플랜트 상담받았는데 결정장애라결정못하겠어요..ㅜㅜ 다른곳 대략적인 가격이랑 추천해주실만한곳 있을까요..?",한병주 추천합니다
저녁 먹으러가는데 나시에 짧은 니트 가디건입으면 더워죽나요?,해 지면 괜찮을 듯
전부터 들어가면 바로 나가지고 그러는데 나만 그래.?,그거 가끔 그럼
장학재단에서 신청했는데 이거 결과 보통 언제 나옴?,그거 이제 근로신청 할 수 있는 기회가 주어진거임
방학 근로학생 중에 혹시 수요일이나 금요일날 근무하시는분 있으신가요?,저요
장학금 성적 기준 넘어도 유닛 못채우면 못받음 ??,ㅇㅇ당연하지
상담일지인가 이거 적어서 가야됨?,ㅇㅇ
a+가능임?,시험 잘보면
사람마다 받는돈 다르나요?,당연?
저녁도 6:30까진가요?,저녁 6시 반부터 7시까지라고 돼있는데
날짜는 아는데 시간에대한 공지는 없어서ㅠㅠ,아마 오전 9시
탁구장 얘기하는거 맞아요??,탁구장 안쪽에 헬스장도 있음
공대나 정보기술대쪽에서 갔다오신 분 계신가요?,저 정보기술대인데 교환학생 갔다왔어요~
홍쌤토익 700반 다니려고 하는데스터디 추천하시나요? 장단점 알려주세요!,헐 나도 다니려고 생각중인데
너넨 같이 돌리니? 고민되네,군대에선 팬티양말까지 걍 같이 돌림
24일 전에는 확인 못함?? ㅈㄴ궁금한데,당연히 못하지 기다려봐
